probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,1,Phenomenology,Mental,4,Intentions,Mental,-0.00014497325115332346,-0.0003772354754668369,0.00011355071580515938,0.874,0.126,0.252,0.3603364485981308,False,n.s.
metacognitive,1,Phenomenology,Mental,5,Prediction,Mental,-6.5688742959035685e-06,-0.0002887443642578755,0.0002816727871129964,0.533,0.467,0.934,0.9401447368421053,False,n.s.
metacognitive,1,Phenomenology,Mental,6,Cognitive,Mental,-7.619315181645164e-06,-0.0002507265506740134,0.0002785749502745209,0.54,0.46,0.92,0.9321854304635763,False,n.s.
metacognitive,1,Phenomenology,Mental,7,Social,Mental,-1.741311989177085e-05,-0.00025355522849746783,0.00023945448137597275,0.566,0.434,0.868,0.9158896551724138,False,n.s.
metacognitive,1,Phenomenology,Mental,8,Embodiment,Physical,0.00014607221860766644,-7.950072940755063e-05,0.00039726845244213854,0.11,0.89,0.22,0.3236538461538462,False,n.s.
metacognitive,1,Phenomenology,Mental,9,Roles,Physical,4.46442099371183e-05,-0.00024831334723484077,0.00029807674889764055,0.348,0.652,0.696,0.7661007194244605,False,n.s.
metacognitive,1,Phenomenology,Mental,10,Animacy,Physical,0.00034733651376280737,0.0001661242778410396,0.0005826121643251885,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,11,Formality,Pragmatic,0.0002126295083629443,-5.496658594389672e-05,0.0004829668759172303,0.061,0.939,0.122,0.2074,False,n.s.
metacognitive,1,Phenomenology,Mental,12,Expertise,Pragmatic,0.0003933526110595979,0.00020232494210133185,0.0006173387522848858,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,13,Helpfulness,Pragmatic,0.0003595611917584137,0.00013158326606364234,0.0006039167080924351,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,14,Biological,Control,0.0002047606582085531,1.975395168040672e-05,0.0004262997231325585,0.017,0.983,0.034,0.07029729729729729,False,n.s.
metacognitive,1,Phenomenology,Mental,15,Shapes,Control,0.00028018022328186884,5.8866017481724464e-05,0.0005300646912012875,0.004,0.996,0.008,0.02110344827586207,True,*
metacognitive,1,Phenomenology,Mental,17,Attention,Mental,-6.82443876117997e-05,-0.000263829543945457,0.00013323501646757152,0.76,0.24,0.48,0.5828571428571429,False,n.s.
metacognitive,1,Phenomenology,Mental,18,SysPrompt (labeled),SysPrompt,0.00031380227560947834,0.00012763348365076979,0.0005294521813599389,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,3,Agency,Mental,-6.398127947423562e-05,-0.0002306555359119634,7.90175831467901e-05,0.783,0.217,0.434,0.55335,False,n.s.
metacognitive,2,Emotions,Mental,4,Intentions,Mental,-0.00023482164355635818,-0.000412871706506129,-5.576988542727731e-05,0.995,0.005,0.01,0.025500000000000002,True,*
metacognitive,2,Emotions,Mental,5,Prediction,Mental,-9.641726669893829e-05,-0.00030406253516729407,8.000441362933157e-05,0.834,0.166,0.332,0.4522300884955753,False,n.s.
metacognitive,2,Emotions,Mental,6,Cognitive,Mental,-9.746770758467988e-05,-0.0003066366522269242,0.00010730060030974788,0.831,0.169,0.338,0.4536315789473685,False,n.s.
metacognitive,2,Emotions,Mental,7,Social,Mental,-0.00010726151229480558,-0.0002900799386268941,7.316040781678174e-05,0.877,0.123,0.246,0.3550754716981132,False,n.s.
metacognitive,2,Emotions,Mental,8,Embodiment,Physical,5.622382620463172e-05,-0.00011173785703603623,0.00020909555711493417,0.237,0.763,0.474,0.5801759999999999,False,n.s.
metacognitive,2,Emotions,Mental,9,Roles,Physical,-4.520418246591641e-05,-0.00028401568013112046,0.00013776941442499984,0.624,0.376,0.752,0.8203404255319149,False,n.s.
