experiment,subject,condition,word_count,question_count,hedge_count,tom_count,filler_rate,politeness_rate,quality,connectedness
Exp2_LLM,s045,hum,283.8,2.6,0.6,0.35,0.01011630514797503,0.015984366908526223,3.9,3.9
Exp2_LLM,s046,bot,271.65,1.95,0.25,0.35,0.010407461403419036,0.01683860932442869,3.85,3.85
Exp2_LLM,s046,hum,286.65,2.7,0.55,0.45,0.01013325791488417,0.017978105986674105,4.0,3.95
Exp2_LLM,s047,bot,294.85,1.8,0.5,0.15,0.009525733739800452,0.016738734348733235,3.9,3.9
Exp2_LLM,s047,hum,282.9,2.5,0.55,0.5,0.008934209437086293,0.017308946023961415,3.85,3.95
Exp2_LLM,s048,bot,318.9,2.1,0.2,0.15,0.00675739653420606,0.016495198092384485,3.9,3.9
Exp2_LLM,s048,hum,279.15,2.3,0.7,0.65,0.01007614553006365,0.014469249821434582,3.9,3.9
Exp2_LLM,s049,bot,289.8,2.2,0.2,0.1,0.008665840593363817,0.015195283992350312,3.8,3.9
Exp2_LLM,s049,hum,304.25,2.75,0.5,0.5,0.008752465997255845,0.015062343447833304,3.85,3.85
Exp2_LLM,s050,bot,342.95,2.1,0.4,0.3,0.007921778207166434,0.010830542276881041,3.95,3.9
Exp2_LLM,s050,hum,264.95,1.9,0.35,0.35,0.011724503170812684,0.020065716539491425,3.9,3.9
