experiment,subject,condition,social_type,word_count,question_count,hedge_count,tom_count,filler_rate,politeness_rate,quality,connectedness
Exp2_LLM,s017,bot,nonsocial,314.7,3.1,0.4,0.4,0.0037664952727822143,0.00923560085308742,4.0,4.0
Exp2_LLM,s017,bot,social,293.2,2.3,0.5,0.3,0.010103084493248957,0.017176838534204153,3.8,3.7
Exp2_LLM,s017,hum,nonsocial,233.3,2.1,0.4,0.4,0.010564491611638175,0.023826741880375625,3.9,4.0
Exp2_LLM,s017,hum,social,282.7,2.1,0.7,0.6,0.007802249952942593,0.01765865626480662,3.9,4.0
Exp2_LLM,s018,bot,nonsocial,306.5,2.6,0.2,0.3,0.011565398682378688,0.012720223302817324,4.0,4.0
Exp2_LLM,s018,bot,social,320.4,1.7,0.4,0.1,0.010499009039698545,0.01634815588251328,4.0,4.0
Exp2_LLM,s018,hum,nonsocial,244.3,3.4,0.5,0.9,0.01106611742227032,0.020201457516851755,3.8,3.9
Exp2_LLM,s018,hum,social,247.1,1.9,0.3,0.6,0.010525143800720244,0.030063574078102073,3.9,3.9
Exp2_LLM,s019,bot,nonsocial,374.2,3.1,0.5,0.2,0.008331646933136589,0.008934448447329709,3.8,3.8
Exp2_LLM,s019,bot,social,316.4,1.4,0.0,0.3,0.006470960947638831,0.014193800178020887,4.0,4.0
Exp2_LLM,s019,hum,nonsocial,295.8,2.4,0.4,0.1,0.00981306763720351,0.016585923671153045,4.0,3.9
Exp2_LLM,s019,hum,social,244.5,2.0,0.7,0.4,0.0065035155624754894,0.018592520620492388,3.9,3.8
Exp2_LLM,s020,bot,nonsocial,279.5,2.1,0.2,0.2,0.01343395808849964,0.013742011165425791,3.8,3.8
Exp2_LLM,s020,bot,social,288.5,1.0,0.1,0.2,0.012713574251911972,0.0164842320342181,4.0,4.0
Exp2_LLM,s020,hum,nonsocial,292.0,2.8,0.1,0.2,0.015469739884919292,0.0175684935189513,3.9,4.0
Exp2_LLM,s020,hum,social,308.1,3.0,0.7,0.9,0.009134028617549788,0.017792992887051,4.0,4.0
