probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,9,Roles,Physical,12,Expertise,Pragmatic,1.969504593818673e-05,-6.240538583345368e-05,0.00011034803525482287,0.339,0.661,0.678,0.7741343283582091,False,n.s.
metacognitive,9,Roles,Physical,13,Helpfulness,Pragmatic,7.164933371480689e-05,-8.403179212106123e-05,0.00023476645345556826,0.196,0.804,0.392,0.5241913043478261,False,n.s.
metacognitive,9,Roles,Physical,14,Biological,Control,0.0001881374588519911,0.00011225841772974188,0.0002706463780403552,0.0,1.0,0.0,0.0,True,***
metacognitive,9,Roles,Physical,15,Shapes,Control,2.3893944614768702e-05,-0.000142263753929122,0.0001992379574547606,0.411,0.589,0.822,0.8856760563380282,False,n.s.
metacognitive,9,Roles,Physical,17,Attention,Mental,-3.13327681684241e-05,-0.00011863891302266387,6.439888087269965e-05,0.762,0.238,0.476,0.6069,False,n.s.
metacognitive,9,Roles,Physical,18,SysPrompt (labeled),SysPrompt,-0.0001105713184380915,-0.00019864937303096795,-1.5123246354507094e-05,0.984,0.016,0.032,0.07771428571428571,False,n.s.
metacognitive,10,Animacy,Physical,11,Formality,Pragmatic,0.0001873775926074447,7.065272037709603e-05,0.0002968711290460806,0.001,0.999,0.002,0.007463414634146341,True,**
metacognitive,10,Animacy,Physical,12,Expertise,Pragmatic,-3.2810943541788915e-06,-8.446978173890479e-05,7.500747128946882e-05,0.531,0.469,0.938,0.9567599999999998,False,n.s.
metacognitive,10,Animacy,Physical,13,Helpfulness,Pragmatic,4.867319342244128e-05,-0.00011285356238356315,0.00020235867652907763,0.276,0.724,0.552,0.6810967741935484,False,n.s.
metacognitive,10,Animacy,Physical,14,Biological,Control,0.0001651613185596255,9.372797039025522e-05,0.00023975825513283865,0.0,1.0,0.0,0.0,True,***
metacognitive,10,Animacy,Physical,15,Shapes,Control,9.178043224030755e-07,-0.00018113051008212123,0.00017256778613369353,0.477,0.523,0.954,0.9663157894736841,False,n.s.
metacognitive,10,Animacy,Physical,17,Attention,Mental,-5.4308908460789724e-05,-0.00014779722169663178,3.926566738920286e-05,0.862,0.138,0.276,0.3902201834862386,False,n.s.
metacognitive,10,Animacy,Physical,18,SysPrompt (labeled),SysPrompt,-0.00013354745873045713,-0.00021570791370081855,-5.072590570820764e-05,0.999,0.001,0.002,0.007463414634146341,True,**
metacognitive,11,Formality,Pragmatic,12,Expertise,Pragmatic,-0.00019065868696162356,-0.0002736235701748089,-0.00010661719124915891,1.0,0.0,0.0,0.0,True,***
metacognitive,11,Formality,Pragmatic,13,Helpfulness,Pragmatic,-0.0001387043991850034,-0.00028642283726785383,8.152565133257283e-06,0.971,0.029,0.058,0.12156164383561645,False,n.s.
metacognitive,11,Formality,Pragmatic,14,Biological,Control,-2.22162740478192e-05,-0.00010731068385405254,7.496986580425357e-05,0.697,0.303,0.606,0.7211162790697675,False,n.s.
metacognitive,11,Formality,Pragmatic,15,Shapes,Control,-0.0001864597882850416,-0.00034609846864218125,-2.1028008412882366e-05,0.986,0.014,0.028,0.07139999999999999,False,n.s.
metacognitive,11,Formality,Pragmatic,17,Attention,Mental,-0.00024168650106823442,-0.0003471588655437596,-0.00013182559398269551,1.0,0.0,0.0,0.0,True,***
metacognitive,11,Formality,Pragmatic,18,SysPrompt (labeled),SysPrompt,-0.0003209250513379018,-0.000405917235278197,-0.00022870112671601975,1.0,0.0,0.0,0.0,True,***
metacognitive,12,Expertise,Pragmatic,13,Helpfulness,Pragmatic,5.195428777662017e-05,-9.884276126144537e-05,0.00020392076452953008,0.262,0.738,0.524,0.6571475409836065,False,n.s.
metacognitive,12,Expertise,Pragmatic,14,Biological,Control,0.00016844241291380434,0.0001076460698647974,0.0002316928167062604,0.0,1.0,0.0,0.0,True,***
metacognitive,12,Expertise,Pragmatic,15,Shapes,Control,4.198898676581967e-06,-0.00015971076232804019,0.00016140604162177903,0.48,0.52,0.96,0.9663157894736841,False,n.s.
metacognitive,12,Expertise,Pragmatic,17,Attention,Mental,-5.102781410661084e-05,-0.0001321483927532578,3.297702626547489e-05,0.885,0.115,0.23,0.34841584158415845,False,n.s.
