experiment,subject,condition,social_type,um_rate,uh_rate,er_rate,ah_rate,well_rate,so_rate,you_know_rate,i_mean_rate,like_rate,basically_rate,actually_rate,right_rate,okay_rate,filled_pauses_rate,discourse_connectives_rate,interactional_phrases_rate,quotative_hedge_rate,pragmatic_stance_rate,filler_composite_rate
Exp1_Human,sub-016,bot,social,0.0,0.0017857142857142857,0.0,0.0,0.0025,0.0062520292207792205,0.0,0.0007575757575757576,0.020489628975937292,0.0,0.0,0.0,0.02777777777777778,0.0017857142857142857,0.008752029220779221,0.0007575757575757576,0.020489628975937292,0.02777777777777778,0.05956272601778434
Exp1_Human,sub-016,hum,nonsocial,0.00984848484848485,0.0037280701754385964,0.0,0.0,0.0019499048826886495,0.02124862903984573,0.0010964912280701754,0.0,0.0403511243220464,0.0,0.0,0.0,0.007518796992481203,0.013576555023923444,0.023198533922534376,0.0010964912280701754,0.0403511243220464,0.007518796992481203,0.08574150148905559
Exp1_Human,sub-016,hum,social,0.003598740440845704,0.0,0.0,0.0,0.0004084967320261438,0.012841217887499893,0.0,0.0004084967320261438,0.03659389949114486,0.0,0.0,0.0014619883040935672,0.0,0.003598740440845704,0.013249714619526037,0.0004084967320261438,0.03659389949114486,0.0014619883040935672,0.05531283958763632
Exp1_Human,sub-017,bot,nonsocial,0.0,0.0025886275886275885,0.0,0.0,0.0015924551638837354,0.008074389558761252,0.003016726403823178,0.006637804694527383,0.025755370402858285,0.0,0.0,0.0,0.0,0.0025886275886275885,0.009666844722644988,0.009654531098350561,0.025755370402858285,0.0,0.04766537381248142
Exp1_Human,sub-017,bot,social,0.0,0.0,0.0,0.0,0.0011947431302270011,0.0029430632470575915,0.006544469149660991,0.002961880008663634,0.012883167836474552,0.0,0.0006613756613756613,0.0,0.0,0.0,0.004137806377284592,0.009506349158324625,0.012883167836474552,0.0006613756613756613,0.027188699033459433
Exp1_Human,sub-017,hum,nonsocial,0.0,0.0,0.0,0.0,0.00196078431372549,0.010248303588943988,0.008303599090097352,0.005031851450257522,0.021407794831568537,0.0,0.0015873015873015873,0.0020039682539682536,0.0,0.0,0.012209087902669478,0.013335450540354874,0.021407794831568537,0.003591269841269841,0.05054360311586273
Exp1_Human,sub-017,hum,social,0.0006385696040868455,0.0009746588693957114,0.0,0.0,0.0027037308768783457,0.013035618875822476,0.004835408583534521,0.009310213513638525,0.01125627655393668,0.0,0.00667334000667334,0.0007880220646178092,0.0,0.001613228473482557,0.01573934975270082,0.014145622097173047,0.01125627655393668,0.007461362071291149,0.05021583894858425
Exp1_Human,sub-018,bot,nonsocial,0.0,0.0,0.0,0.0,0.002829080815629337,0.00757967031870648,0.0,0.0,0.015335179714779339,0.0,0.0,0.0,0.0,0.0,0.010408751134335818,0.0,0.015335179714779339,0.0,0.025743930849115155
Exp1_Human,sub-018,bot,social,0.0,0.0,0.0,0.0,0.0017114464482885536,0.0077690529141187115,0.0,0.0,0.0009380863039399625,0.0,0.0,0.0,0.0,0.0,0.009480499362407264,0.0,0.0009380863039399625,0.0,0.010418585666347227
Exp1_Human,sub-018,hum,nonsocial,0.0,0.0,0.0,0.0,0.0,0.013003014195170451,0.0,0.0,0.01552633297491169,0.0,0.0013933849401829698,0.0,0.0,0.0,0.013003014195170451,0.0,0.01552633297491169,0.0013933849401829698,0.029922732110265114
Exp1_Human,sub-018,hum,social,0.0,0.0,0.0,0.0,0.0015403091060985797,0.00239766081871345,0.0,0.0,0.009247266414615174,0.0,0.0,0.0,0.0,0.0,0.003937969924812029,0.0,0.009247266414615174,0.0,0.013185236339427205
Exp1_Human,sub-019,bot,nonsocial,0.000847457627118644,0.0,0.0,0.0,0.000847457627118644,0.012627245240980514,0.0079700388696092,0.0015224010439321444,0.013934730091739294,0.0,0.0004273504273504274,0.0018704398582447366,0.0125,0.000847457627118644,0.013474702868099158,0.009492439913541345,0.013934730091739294,0.014797790285595164,0.0525471207860936
