experiment,subject,condition,topic,social_type,social,word_count,question_count,tom_count,polite_pos,polite_neg,impolite,politeness_score,nonfluency_count,liwc_filler_count,disfluency_count,like_count,fung_interpersonal_count,fung_referential_count,fung_structural_count,fung_cognitive_count,fung_total_count,demir_modal_count,demir_verb_count,demir_adverb_count,demir_adjective_count,demir_quantifier_count,demir_noun_count,demir_total_count,sentiment,sentiment_pos,sentiment_neg,sentiment_neu,quality,connectedness,tom_rate,politeness_rate,nonfluency_rate,liwc_filler_rate,disfluency_rate,like_rate,fung_interpersonal_rate,fung_referential_rate,fung_structural_rate,fung_cognitive_rate,fung_total_rate,demir_modal_rate,demir_verb_rate,demir_adverb_rate,demir_adjective_rate,demir_quantifier_rate,demir_noun_rate,demir_total_rate
LLM,s003,bot,space,nonsocial,0,1348,2,1,8,0,1,7,2,1,3,0,21,104,106,10,124,22,26,14,10,3,11,86,0.98962,0.21400000000000002,0.0264,0.7596,3.0,3.0,0.000741839762611276,0.0051928783382789315,0.001483679525222552,0.000741839762611276,0.002225519287833828,0.0,0.015578635014836795,0.0771513353115727,0.07863501483679525,0.00741839762611276,0.09198813056379822,0.016320474777448073,0.019287833827893175,0.010385756676557863,0.00741839762611276,0.002225519287833828,0.008160237388724036,0.06379821958456973
LLM,s003,bot,teamwork,social,1,1129,0,0,10,0,0,10,0,0,0,1,13,74,75,2,82,14,12,8,1,2,1,38,0.9949999999999999,0.25780000000000003,0.014600000000000002,0.7274,3.0,3.0,0.0,0.008857395925597875,0.0,0.0,0.0,0.0008857395925597874,0.011514614703277236,0.06554472984942426,0.06643046944198405,0.001771479185119575,0.07263064658990256,0.012400354295837024,0.010628875110717449,0.0070859167404783,0.0008857395925597874,0.001771479185119575,0.0008857395925597874,0.03365810451727192
LLM,s003,bot,technology,nonsocial,0,710,2,2,4,0,0,4,0,0,0,6,29,45,34,10,69,10,11,5,0,3,1,30,0.9802,0.22640000000000002,0.0086,0.765,3.0,3.0,0.0028169014084507044,0.005633802816901409,0.0,0.0,0.0,0.008450704225352112,0.04084507042253521,0.06338028169014084,0.04788732394366197,0.014084507042253521,0.09718309859154929,0.014084507042253521,0.015492957746478873,0.007042253521126761,0.0,0.004225352112676056,0.0014084507042253522,0.04225352112676056
LLM,s003,bot,trust,social,1,806,2,0,8,0,0,8,2,0,2,1,16,73,65,5,81,7,10,14,1,0,0,32,0.9942399999999999,0.3048,0.0246,0.6706,3.0,3.0,0.0,0.009925558312655087,0.0024813895781637717,0.0,0.0024813895781637717,0.0012406947890818859,0.019851116625310174,0.09057071960297766,0.08064516129032258,0.00620347394540943,0.10049627791563276,0.008684863523573201,0.01240694789081886,0.017369727047146403,0.0012406947890818859,0.0,0.0,0.03970223325062035
LLM,s003,bot,weather,nonsocial,0,586,5,3,2,0,0,2,0,0,0,3,17,50,44,4,66,5,7,8,0,4,0,24,0.6938000000000001,0.24619999999999997,0.033800000000000004,0.72,3.0,3.0,0.005119453924914676,0.0034129692832764505,0.0,0.0,0.0,0.005119453924914676,0.02901023890784983,0.08532423208191127,0.07508532423208192,0.006825938566552901,0.11262798634812286,0.008532423208191127,0.011945392491467578,0.013651877133105802,0.0,0.006825938566552901,0.0,0.040955631399317405
LLM,s003,hum,books,nonsocial,0,599,10,0,1,0,0,1,1,2,3,2,41,55,57,8,96,11,7,4,0,2,0,24,0.95184,0.2138,0.0304,0.7556,4.0,4.0,0.0,0.001669449081803005,0.001669449081803005,0.00333889816360601,0.005008347245409015,0.00333889816360601,0.06844741235392321,0.09181969949916527,0.09515859766277128,0.01335559265442404,0.16026711185308848,0.018363939899833055,0.011686143572621035,0.00667779632721202,0.0,0.00333889816360601,0.0,0.04006677796327212
LLM,s003,hum,boundaries,social,1,1344,17,7,8,0,0,8,4,7,11,17,82,118,105,29,200,21,16,23,0,0,0,60,0.99674,0.29460000000000003,0.054200000000000005,0.6516,1.0,3.0,0.005208333333333333,0.005952380952380952,0.002976190476190476,0.005208333333333333,0.00818452380952381,0.012648809523809524,0.06101190476190476,0.08779761904761904,0.078125,0.021577380952380952,0.1488095238095238,0.015625,0.011904761904761904,0.01711309523809524,0.0,0.0,0.0,0.044642857142857144
LLM,s003,hum,cars,nonsocial,0,819,9,2,9,0,0,9,1,3,4,3,29,58,56,7,81,16,9,6,1,6,0,38,0.8725200000000001,0.2028,0.0256,0.7714000000000001,3.0,3.0,0.002442002442002442,0.01098901098901099,0.001221001221001221,0.003663003663003663,0.004884004884004884,0.003663003663003663,0.03540903540903541,0.07081807081807082,0.06837606837606838,0.008547008547008548,0.0989010989010989,0.019536019536019536,0.01098901098901099,0.007326007326007326,0.001221001221001221,0.007326007326007326,0.0,0.0463980463980464
LLM,s003,hum,childhood_memories,social,1,616,0,1,0,0,0,0,0,1,1,2,14,53,47,3,66,10,6,5,0,4,0,25,0.9484199999999999,0.1656,0.01,0.8244,3.0,4.0,0.0016233766233766235,0.0,0.0,0.0016233766233766235,0.0016233766233766235,0.003246753246753247,0.022727272727272728,0.08603896103896104,0.0762987012987013,0.00487012987012987,0.10714285714285714,0.016233766233766232,0.00974025974025974,0.008116883116883116,0.0,0.006493506493506494,0.0,0.040584415584415584
LLM,s003,hum,conflict,social,1,1025,0,0,2,0,0,2,1,0,1,2,19,66,68,8,80,20,17,11,2,1,1,52,0.98482,0.24139999999999998,0.0762,0.6822,3.0,3.0,0.0,0.001951219512195122,0.000975609756097561,0.0,0.000975609756097561,0.001951219512195122,0.018536585365853658,0.06439024390243903,0.06634146341463415,0.007804878048780488,0.07804878048780488,0.01951219512195122,0.016585365853658537,0.010731707317073172,0.001951219512195122,0.000975609756097561,0.000975609756097561,0.050731707317073174
